id,preco
"3,00716223898539E+038",74732.59008373933
"2,7963984213413E+038",81965.33263377474
"5,64144608106211E+037",162824.81447192
"5,68625098268499E+037",123681.35885695572
"3,389809757532E+038",82419.7638908304
"3,04613157679868E+038",51325.84690875423
"2,30950713946762E+038",97366.80050317229
"1,90159143366604E+038",46263.040150782304
"2,71933559722391E+037",75088.72190931927
"1,91520894691403E+038",218634.9429655477
"1,90155574605942E+038",44634.42146413495
"2,15983036290232E+038",62182.81632139242
"1,6359666775681E+038",226024.87495402384
"2,21194656445953E+038",73785.14980716091
"8,45802269067606E+037",100837.33422640729
"1,99861120476163E+038",56652.42371698951
"1,03803365377725E+038",150686.53990121788
"2,26236376325582E+037",52375.52005401569
"1,46837466868953E+038",259649.81623156852
"1,18295225597333E+038",148360.04310078532
"2,44927875305124E+038",216035.9971065084
"1,61689246994151E+038",377512.644517584
"8,78267033745644E+037",47103.31699256357
"1,94676628491203E+038",201113.67599979683
"2,84715345367739E+038",121102.10799695487
"2,91649875569045E+038",171005.34154203744
"1,28173737214515E+038",238137.792345144
"9,8563728715028E+037",116312.3631929478
"2,82003769327033E+038",408899.3574082615
"2,70544306276198E+038",89038.61331164351
"3,2428764605755E+038",77234.31499841565
"1,67735888348532E+038",78138.52589654135
"1,44443426042558E+038",150873.94607538366
"1,19295608009285E+038",66049.82139331469
"1,28285897183235E+038",65928.09387317073
"6,27548026922664E+037",131019.87282552297
"3,18599048439297E+038",62548.2802127223
"2,47505190580485E+038",114020.61329423627
"3,04053923675749E+038",82991.27260262218
"4,8423823123725E+037",52736.73958161367
"3,14780719138794E+038",221320.95752313835
"1,80872407948085E+038",61851.11149947053
"2,50142684726666E+038",46758.01771548549
"1,60538021032302E+038",80888.65483555876
"5,15186602482797E+037",140987.90636735535
"1,32232837904347E+037",50903.28251180599
"2,96370433958392E+038",94949.88075369284
"8,35806057215736E+037",108325.88672667628
"2,88950486904285E+038",86304.70275502265
"1,55646960804865E+038",118708.48461424246
"1,2081840727995E+038",183966.9620723205
"1,64837964155806E+038",130517.83197694772
"2,81254746050145E+038",81225.07967919116
"1,42702858794525E+037",79068.02892716663
"2,49654904947382E+038",97193.53922895828
"2,91036206988216E+038",277946.7519654817
"1,93961354710694E+038",118252.69369201935
"1,55132775240181E+038",131380.50658201915
"3,25035399352666E+038",227073.71572439
"2,44173550797335E+038",68178.66951473699
"1,58692846581106E+037",49476.29520046003
"3,54292538029916E+037",89522.6377080847
"3,08547059269326E+038",159068.83705283335
"7,07875797529256E+037",158038.75884993174
"1,04732019121808E+038",65845.63903837046
"3,28880961834833E+038",217524.35443309328
"7,5646746139973E+037",108582.42126806756
"1,28660026491097E+038",96248.7243800598
"9,14641373417769E+037",73762.76891585131
"3,12392292209469E+038",456935.8160885326
"2,76121361340811E+038",81574.23011327801
"3,22758646549845E+038",72243.63122306298
"3,27763375666274E+038",193269.24880117405
"2,05879520568044E+038",113091.97669340656
"2,87280122697035E+037",91273.76751189814
"2,76846772162713E+038",207089.1017437185
"2,2051523155337E+038",118328.67458866964
"1,25709444561802E+038",81287.01461819638
"2,87332864999209E+038",87531.46901425818
"4,69883462688212E+037",364010.2024057303
"2,21584999259664E+038",174477.37504155343
"3,12977927397728E+038",141675.38211212508
"2,01870539457406E+038",57335.58110224379
"7,2080721512232E+037",132806.87931702042
"1,40739618402843E+038",129766.76541649085
"2,11486247644956E+038",159924.4544296703
"2,8560057172767E+038",64379.4005861117
"2,42934511306767E+038",100950.44846462416
"1,05570631268362E+038",77182.41162591595
"3,81542502846221E+037",165550.6018130312
"2,71581984285038E+038",171309.91806796117
"1,42744663225767E+038",163175.9431491127
